document,site_no,site_name,street_address,city_state_zip,county,enforcement_action,enforcement_action_number,enforcement_action_issued,case_closed,media,program,slug
,136778,MO DOT-Sweepstakes Road,10200 to 10400 Sweepstakes Road,"Damascus,MD,20872",Montgomery,Penalty Settlement,C-12-1639,2012-04-09,2012-06-19,Sediment;Waterway Construction,,montgomery
,137095,Fort Meade,2822 Morrison Avenue,"Fort George G. Meade,MD,20755",Anne Arundel,Penalty Settlement,C-15-2180,2014-12-10,2015-01-13,Sediment,,anne-arundel
,137152,Johnson Auto Parts & Recycling,3360 Livingston Road,"Indian Head,MD,20640",Charles,Order of Contempt,JO-16-2294,2015-06-17,,Non-Tidal Wetlands;Notice of Intent;Sediment,Notice of Intent (Construction),charles
,137229,DB Custom,7546 Ogden Dr,"Clinton,MD,20735",Prince George's,Amended Complaint & Penalty,AOP-17-2443,2017-03-13,2018-02-09,Non-Tidal Wetlands;Sediment;Surface Water Discharge Unauthorized,Industrial Minor,prince-georges
,137355,11-SF-0248 Renovation Building 1520 and Demolition Building 718 and 611,Fort Detrick,"Fort Detrick,MD,21702",Frederick,Penalty Settlement,C-15-2133,2014-08-15,2014-09-23,Notice of Intent;Sediment,Notice of Intent (Construction),frederick
,137362,Izaak Walton League stream filling,4719 Reels Mill Rd,"Frederick,MD,21704",Frederick,Settlement Agreement,Joe Bieberich,2014-06-10,2014-09-19,Notice of Intent;Sediment;Waterway Construction,Notice of Intent (Construction),frederick
,137478,12525 Vanous Rd,"12525 Vanous Rd, Dean Rose","Dunkirk,MD,20754",Calvert,Settlement Agreement,Arno Laud,2016-01-15,2016-09-15,Sediment,,calvert
,138261,Canton Crossing Parking Garage,1519 S Clinton St,"Baltimore,MD,21224",Baltimore City,Penalty Settlement,PS-13-1771,2012-10-04,2012-11-20,Notice of Intent,Notice of Intent (Construction),baltimore-city
,138824,Baltimore City Infrastructure Rehabilitation - Locust Point,"southeast corner  Ander St & Towson St, Locust Point","Baltimore City,MD,21230",Baltimore City,Penalty Settlement,PS-15-2114,2014-05-06,2014-07-30,Surface Water Discharge Unauthorized,Industrial Minor,baltimore-city
,138964,Columbia Gas Transmission-Line MB Extension-Owings Mills to Fallston,Owings Mills M and R Station to Rutledge Compresser Station,"Owings Mills,MD,21117",Baltimore,Penalty Settlement,C-16-2359,2016-01-06,2016-02-16,Sediment,,baltimore
,139323,BC DPW Improvements to Herring Run Interceptors SC 871,Shaft 4 work area,"Baltimore City,MD,21213",Baltimore City,Penalty Settlement,PS-13-1387,2013-03-18,2013-03-13,Notice of Intent;Sediment,Notice of Intent (Construction),baltimore-city
,139382,Thayerville Water Distribution System,"US 219 Bridge over, Deep Creek Lake","Oakland,MD,21550",Garrett,Penalty Settlement,C-13-1889,2013-03-22,2013-04-18,Sediment,,garrett
,139385,Sharpless Mine Rd,Mt. Zion Rd,"Swanton,MD,21561",Garrett,Penalty Settlement,PAF-13-1059,2013-04-24,2014-02-18,Sediment,,garrett
,140140,"US NSA-Ft Meade, Building 1",Rockenbach Road,"Fort George G. Meade,MD,20755",Anne Arundel,Penalty Settlement,C-17-2440,2017-03-08,2017-05-02,Sediment,,anne-arundel
,140293,Wolfe Terrace Apartments,312 Maple Ave,"Berlin,MD,21811",Worcester,Penalty Settlement,Patrick Noyes,2017-05-09,2017-06-21,Surface Water Discharge Unauthorized,Collection System (SSO),worcester
,140594,Calvert Tract LLC-Cafritz Property,Baltimore Avenue (US 1) betwn Tuckerman St and Albion Rd,"Riverdale,MD,20737",Prince George's,Penalty Settlement,C-16-2319,2015-09-30,2015-10-13,Notice of Intent;Sediment,Notice of Intent (Construction),prince-georges
,140650,Howard and Dolores Ruskie,5757 Shookstown Road,"Frederick,MD,21701",Frederick,Penalty Settlement,CO-13-1952,2013-06-27,2013-08-12,Surface Water Discharge Unauthorized,,frederick
,140711,Barton Hall Lot 3,End of Hodges Rd,"Abell,MD,20606",St. Mary's,Settlement Agreement,SAP-18-2538,2018-06-22,2018-10-04,Tidal Wetlands,,st-marys
,141665,Harvest Ridge Associates LLC,Autumn Crest Dr,"Frederick,MD,21701",Frederick,Penalty Settlement,C-16-2324,2015-10-07,2015-11-25,Notice of Intent;Sediment,Notice of Intent (Construction),frederick
,141872,W Old Baltimore Rd at Ten Mile Stream crossing,"15000 West Old Baltimore Rd, 0.4 miles SE, 39.217725-77.316781","Boyds,MD,20841",Montgomery,Settlement Agreement,14-NT-3068,2014-12-23,2015-02-03,Sediment;Waterway Construction,,montgomery
,141989,BGE Tipton Terminal Station,39.0937585 -76.7645354,"Fort George G. Meade,MD,20755",Anne Arundel,Penalty Settlement,PS-15-2265,2015-06-04,2015-06-23,Non-Tidal Wetlands;Sediment,,anne-arundel
,142239,Charles Street Overlook,"east of Hickory Ln, north side of MD Rte 6","La Plata,MD,20646",Charles,Penalty Settlement,C-16-2352,2015-10-09,2016-03-03,Sediment,,charles
,142314,Oak Forest Ave,303 Oak Forest Ave,"Catonsville,MD,21228",Baltimore,Penalty Settlement,C-14-2072,2014-03-25,2014-04-01,Sediment,,baltimore
,143105,MES-Rocky Gap WTP,12900 Lakeshore Drive,"Flintstone,MD,21530",Allegany,Penalty Settlement,PS-15-2193,2014-12-23,2015-01-16,Notice of Intent,Notice of Intent (Construction),allegany
,143390,"SMECO Distribution Line US 301 SB, 50 ft south of AT&T access road","US 301 SB, approx. 50 ft. south of AT&T access road","Waldorf,MD,20603",Charles,Penalty Settlement,C-14-2109,2014-06-12,2014-07-25,Non-Tidal Wetlands;Sediment,,charles
,143495,Spiker Trail Park,Shingle Camp Road,"McHenry,MD,21541",Garrett,Penalty Settlement,C-15-2123,2014-08-04,2014-09-11,Non-Tidal Wetlands;Notice of Intent;Sediment;Waterway Construction,Notice of Intent (Construction),garrett
,143857,1211 Lake Ridge Drive / Thomas Joseph Cable,1211 Lake Ridge Drive,"Sunderland,MD,20689",Calvert,Settlement Agreement,Arno Laud,2017-08-16,2019-07-24,Non-Tidal Wetlands;Sediment,,calvert
,143976,La Cuchara,"3600 Clipper Mill Rd, Ste 125","Baltimore,MD,21210",Baltimore City,,,2020-06-04,2020-06-04,Surface Water Discharge Unauthorized,Industrial Minor,baltimore-city
,144272,Jamie Harrington Property/Secretary,101 Linden Avenue,"Secretary,MD,21664",Dorchester,Penalty Settlement,Arno laud,2016-01-05,2016-01-28,Surface Water Discharge Unauthorized,Municipal Minor,dorchester
,144473,Center at Monocacy Lots 1 and 15,Southern intersection of MD 85 and Pegasus Ct,"Frederick,MD,21071",Frederick,Penalty Settlement,13FR0023,2014-09-30,2014-10-28,Notice of Intent;Sediment,Notice of Intent (Construction),frederick
,144724,Nelson's Run SWM Revisions Lots 1-3,Miss Etta's Way,"Leonardtown,MD,20650",St. Mary's,Penalty Settlement,PS-15-4425,2015-04-13,2015-06-01,Notice of Intent,Notice of Intent (Construction),st-marys
,144828,"Fibred-Maryland, Inc","11600 River Rd, SE","Cumberland,MD,21501",Allegany,Administrative Order,CD-14-2059,2010-06-03,2013-07-31,Surface Water Discharge Permit,,allegany
,145207,"Langley, Hazel/43063 Hugh Drive Hollywood MD",43063 Hugh Dr,"Hollywood,MD,20636",St. Mary's,Penalty Settlement,C-15-2219,2015-02-11,2016-02-09,Sediment;Surface Water Discharge Unauthorized,Industrial Minor,st-marys
,145393,"Harris Bus & Terminal Service, Inc.",10245 Bird River Rd,"Middle River,MD,21220",Baltimore,Consent Order,SAP-16-2340,2015-11-24,2015-12-11,Surface Water Discharge Unauthorized,Industrial Stormwater,baltimore
,145415,Pank Property,"10546 Harp Rd, Pank Farm LLC","Walkersville,MD,21793",Frederick,Consent Order,AP-16-2368,2015-12-11,2016-07-05,Notice of Intent;Sediment;Surface Water Discharge Unauthorized,Industrial Stormwater,frederick
,145871,Command Technology,7604 Energy Pkwy,"Curtis Bay,MD,21226",Anne Arundel,Penalty Settlement,Arno Laud,2015-08-25,2015-09-03,Surface Water Discharge Permit;Surface Water Discharge Unauthorized,Industrial Minor,anne-arundel
,146116,Buildings 7 and 9 Demolition,39.000476 -77.102593,"Bethesda,MD,20814",Montgomery,Penalty Settlement,15-SF-0157,2017-05-26,2017-06-13,Notice of Intent;Sediment,Notice of Intent (Construction),montgomery
,146260,Vincent DiLeonardi,2331 Turkey Point Rd,"Essex,MD,21221",Baltimore,Penalty Settlement,,2018-04-26,2018-05-04,Tidal Wetlands,,baltimore
,146307,1301 Cabin Branch Storm Drain Discharge,1301 Cabin Branch Drive,"Hyattsville,MD,20785",Prince George's,Settlement Agreement,Patrick Noyes,2018-04-23,2018-04-24,Surface Water Discharge Unauthorized,,prince-georges
,146852,Cove Point Rd. & Rt.2/4,Rt. 2/4/ & Cove Point Rd.,"Lusby,MD,20657",Calvert,Penalty Settlement,C-15-2273,2015-06-26,2015-07-24,Sediment,,calvert
https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=2501600,147115,D&D Motors Inc,"Rt. 220 McMullen Hwy., at 5520 McMullen Highway","Cumberland,MD,21502",Allegany,Penalty Settlement,PS-20-2064,2020-06-16,,Sediment;Surface Water Discharge Permit,Notice of Intent (Construction),allegany
,147459,Washington College-New Academic Bldg,Washington Ave,"Chestertown,MD,21620",Kent,Penalty Settlement,C-16-2200,2015-08-31,2015-09-28,Sediment,,kent
,148051,2016 Brigadier Blvd.,2016 Brigadier Blvd.,"Odenton,MD,21113",Anne Arundel,Penalty Settlement,C-16-2308,2015-09-03,2015-10-01,Sediment,,anne-arundel
,148244,Lakeside estates,4690 Mountain Rd,"Pasadena,MD,21122",Anne Arundel,Penalty Settlement,C-16-2329,2015-10-20,2015-12-09,Sediment,,anne-arundel
,149146,BGE Russett Switching Station to Tipton Substation,"Laurel Fort Meade Rd, 39.093387,-76.783862","Laurel,MD,20724",Anne Arundel,Penalty Settlement,C-19-2550,2018-09-19,2018-10-01,Non-Tidal Wetlands;Sediment,,anne-arundel
,149340,Frank Harvey Ruts and Holes,Eagle Rock Road Windmill,"Oakland,MD,21550",Garrett,Penalty Settlement,C-16-2356,2015-12-30,2016-01-19,Sediment,,garrett
,150697,Eagle Recycling,510 West Road,"Salisbury,MD,21801",Wicomico,Consent Order,CO-19-2597,2019-03-04,2020-04-16,Surface Water Discharge Permit,Industrial Stormwater,wicomico
,150960,End of Oak Crest ln Oak Crest PUD,"end of Oak Crest ln, Oak Crest PUD","Hollywood,MD,20636",St. Mary's,Penalty Settlement,C-16-2387,2016-04-01,2016-06-07,Notice of Intent;Sediment,Notice of Intent (Construction),st-marys
,153107,DC General Services / 3201 Oak Hill Drive,3201 Oak Hill Drive,"Laurel,MD,20724",Anne Arundel,Penalty Settlement,C-17-2457,2017-04-11,2017-06-02,Sediment;Waterway Construction,,anne-arundel
,153645,Custer Timber Harvest,"Montana Lane, off Foster Road, Route 219","Oakland,MD,21550",Garrett,Settlement Agreement,Scott Boylan,2018-12-07,,Non-Tidal Wetlands;Sediment;Waterway Construction,,garrett
,155446,Solar Photovoltaic Power Plant Site #4,9101 Old Princess Anne Rd,"Princess Anne,MD,21853",Somerset,Settlement Agreement,Patrick Noyes,2018-11-08,2018-11-21,Non-Tidal Wetlands;Sediment;Surface Water Discharge Permit,Notice of Intent (Construction),somerset
,155447,Solar Photovoltaic Power Plant Site #1,10576 Market Lane,"Princess Anne,MD,21853",Somerset,Settlement Agreement,Patrick Noyes,2018-11-08,2018-11-21,Non-Tidal Wetlands;Sediment;Surface Water Discharge Permit,Notice of Intent (Construction),somerset
,155448,Solar Photovoltaic Power Plant Site #3,9021 Arden Station Rd,"Princess Anne,MD,21853",Somerset,Settlement Agreement,Patrick Noyes,2018-11-08,2018-11-21,Non-Tidal Wetlands;Sediment;Surface Water Discharge Permit,Notice of Intent (Construction),somerset
,155449,Solar Photovoltaic Power Plant Site #6,31912 Dublin Rd,"Princess Anne,MD,21853",Somerset,Settlement Agreement,Patrick Noyes,2018-11-08,2018-11-21,Non-Tidal Wetlands;Sediment;Surface Water Discharge Permit,Notice of Intent (Construction),somerset
,155527,S&H Express,11602 Green Valley Road,"Union Bridge,PA,17402-0165",Carroll,Penalty Settlement,Joe Bieberich,2017-08-30,2017-09-19,Surface Water Discharge Unauthorized,,carroll
,163304,James Schaeffer,5228 Brooks Dr,"Woolford,MD,21677",Dorchester,,,2020-02-27,2020-05-28,Non-Tidal Wetlands;Notice of Intent;Surface Water Discharge Unauthorized,,dorchester
,145071,Thur,478 White Cedar lane,"Severna Park,MD,21146",Anne Arundel,Penalty Settlement,PS-15-2200,2014-12-30,2015-04-01,Tidal Wetlands,,anne-arundel
,145265,Centre at Salisbury Mall,2300 N Salisbury Blvd,"Salisbury,MD,21801",Wicomico,Penalty Settlement,"Bull, Kevin",2015-03-04,2015-03-16,Surface Water Discharge Unauthorized,Municipal Minor,wicomico
,145265,Centre at Salisbury Mall,2300 N Salisbury Blvd,"Salisbury,MD,21801",Wicomico,Penalty Settlement,PS-15-2230,2015-03-04,2015-03-16,Surface Water Discharge Unauthorized,Municipal Minor,wicomico
,145421,Andrew Kostyn,859 Spriggs Road,"Arnold,MD,21012",Anne Arundel,Penalty Settlement,C-15-2217,2015-02-04,2015-04-29,Sediment,,anne-arundel
,145901,Wynfall Avenue,wynfall ave,"Crisfield,MD,21817",Somerset,Settlement Agreement,Arno Laud,2016-05-09,2016-06-02,Non-Tidal Wetlands;Sediment,Municipal Minor,somerset
,146083,Delmarva Power and Light Co-Kenny Substation,6209 Public Landing Road,"Snow Hill,MD,21863",Worcester,Settlement Agreement,SA-16-2373,2016-03-01,2016-03-22,Non-Tidal Wetlands,,worcester
,146116,Buildings 7 and 9 Demolition,39.000476 -77.102593,"Bethesda,MD,20814",Montgomery,Penalty Settlement,MDRCPF00K,2017-05-26,2017-06-13,Notice of Intent;Sediment,Notice of Intent (Construction),montgomery
,147112,Cannery Village,Flower Street,"Berlin,MD,21811",Worcester,Penalty Settlement,C-17-2442,2017-03-13,2017-04-09,Sediment,Industrial Minor,worcester
,148027,Nabely Family Trust,7410 Jefferson Ave,"Hyattsville,MD,20785",Prince George's,Amended Complaint & Penalty,AOP-18-2533,2018-06-01,2018-12-18,Surface Water Discharge Unauthorized,Industrial Major,prince-georges
,149242,7391 Jefferson Ave.,7391 Jefferson Ave.,"Hyattsville,MD,20785",Prince George's,Consent Order,CO-19-2574,2018-12-14,2022-11-04,Surface Water Discharge Unauthorized,Industrial Minor,prince-georges
,149337,Keith Beckman,Smouse Road and Pleasant Valley Rds.,"Oakland,MD,21550",Garrett,Penalty Settlement,C-16-2367,2016-02-15,2016-04-05,Non-Tidal Wetlands;Sediment,,garrett
,149380,160 Arthur King Rd.,160 Arthur King Rd.,"Prince Frederick,MD,20678",Calvert,Penalty Settlement,PS-16-2378,2016-02-25,2016-03-07,Notice of Intent,Notice of Intent (Construction),calvert
,152916,PAF16-2443,20498 Riverview Dr,"Coltons Point,MD,20626",St. Mary's,,,2018-06-22,2019-01-10,Tidal Wetlands,,st-marys
,153104,Clearview Acres LLC,12111 St. Paul Rd,"Clear Spring,MD,21722",Washington,"Complaint, Order, Penalty",AOP-20-2621,2019-10-28,,Non-Tidal Wetlands;Sediment;Stormwater Management,Notice of Intent (Construction),washington
,154560,Terry and Faye Shields,6100 Ray Norwood Road,"Prince Frederick,MD,20678",Calvert,Penalty Settlement,PS-18-2509,2018-02-12,2018-03-05,Tidal Wetlands,,calvert
,155339,94th St Sunsations,9307 Coastal Highway,"Ocean City,MD,21842",Worcester,Penalty Settlement,Patrick Noyes,2018-05-03,2018-06-04,Surface Water Discharge Unauthorized,Industrial Stormwater,worcester
,156512,Beard Farm,19824 Mill Point Road,"Boonsboro,MD,21713",Washington,Penalty Settlement,Jess Herpel,2019-05-01,2019-05-15,Surface Water Discharge Unauthorized,,washington
,157414,Terrapin Run LLC Forest Harvest,West Shipley Road,"Flintstone,MD,21530",Allegany,Penalty Settlement,C-19-2573,2018-12-21,2019-12-12,Sediment,,allegany
,159170,Oily discharge to Jones Falls,"Stormwater outfall between ""Outfall 67"" and 1901 Falls Rd, 39.3130123, -76.6225855","Baltimore City,MD,21211",Baltimore City,Penalty Settlement,"Bull, Kevin",2018-11-29,2019-01-03,Surface Water Discharge Unauthorized,Industrial Minor,baltimore-city
,163987,Five Guys,870 Costley Way,"Prince Frederick,MD,20678",Calvert,Required Confirmation,Jess Herpel,2020-02-13,,Surface Water Discharge Unauthorized,,calvert
,132263,D. W. Burt Concrete Construction,1802 Northwood Drive,"Salisbury,MD,21801",Wicomico,Administrative Order,SC-O-12-1515,,2010-12-29,Not Applicable,,wicomico
,132390,11680 Perry Branch Road,11680 Perry Branch Road,"Newburg,MD,20664",Charles,Penalty Settlement,PS-13-1882,2013-03-06,2013-04-09,Tidal Wetlands,,charles
,132780,Spiro Buas,11600 Ocean Gateway,"Berlin,MD,21811",Worcester,Complaint & Penalty,SAP-13-1838,2012-09-25,2013-01-10,Non-Tidal Wetlands,,worcester
,133163,Boonsboro WWTF,6927 Monroe Road,"Boonsboro,MD,21713",Washington,Penalty Settlement,Eisgruber,2014-09-09,2014-09-30,Surface Water Discharge Permit,Municipal Minor,washington
,134323,Ron Sisler Excess Fill,Rte 50,"Oakland,MD,21550",Garrett,Penalty Settlement,Eisgruber,2012-06-26,2015-07-02,Sediment,,garrett
,134466,48226 Far Cry Rd,48226 Far Cry Rd,"Lexington Park,MD,20653",St. Mary's,Settlement Agreement,SAP-14-1989,2013-09-06,2014-11-06,Sediment,,st-marys
,134605,Centre at Salisbury Mall Stormwater Pond Retrofit,"Centre Drive, Parcel F","Salisbury,MD,21804",Wicomico,Amended Complaint & Penalty,AP-13-1802,2013-05-07,2013-07-12,Sediment,,wicomico
,134605,Centre at Salisbury Mall Stormwater Pond Retrofit,"Centre Drive, Parcel F","Salisbury,MD,21804",Wicomico,Settlement Agreement,AP-13-1802,2013-05-07,2013-07-12,Notice of Intent;Sediment,,wicomico
,135523,Davy,887 Patterson Ave,"Cumberland,MD,21502",Allegany,Settlement Agreement,SAP-13-1756,2012-09-14,2012-09-25,Notice of Intent;Sediment,Notice of Intent (Construction),allegany
,135703,Bright Green Discharge to Brewington Branch,northwest corner of intersection of Zion Rd and N Salisbury Blvd,"Salisbury,MD,21801",Wicomico,Settlement Agreement,Julie Gowe,2014-04-18,2014-05-18,Groundwater Discharge Unauthorized,,wicomico
,135765,501 EdgewaterAve-SouthBayCondo-OceanCity,"501 Edgewater Ave, South Bay Condo","Ocean City,MD,21842",Worcester,Penalty Settlement,PS-14-2008,2013-10-24,2014-02-19,Tidal Wetlands,,worcester
,136266,End of Hauf Ave,Rear of 906 Hauf Ave,"Essex,MD,21221",Baltimore,Settlement Agreement,SA-13-1728,2012-08-03,2012-09-03,Non-Tidal Wetlands;Sediment,,baltimore
,136493,MdTA MD 43/Campbell Blv to Honeygo Run,"MD 43 from Campbell Blvd to, Honeygo Run","White Marsh,MD,21162",Baltimore,Penalty Settlement,C012-1686,2012-07-03,2012-07-09,Sediment,,baltimore
,136708,WSSC-Collington Elevate Water Storage Facility,15650 Leeland Road,"Upper Marlboro,MD,20772",Prince George's,Penalty Settlement,C-16-2332,2015-10-20,2015-11-27,Notice of Intent;Sediment,Notice of Intent (Construction),prince-georges
,137095,Fort Meade,2822 Morrison Avenue,"Fort George G. Meade,MD,20755",Anne Arundel,Penalty Settlement,PS-15-2119,2014-07-16,2014-11-24,Notice of Intent,Notice of Intent (Construction),anne-arundel
,137161,Robert Kline Farm,15602 Lohr Rd,"Thurmont,MD,21788",Frederick,Settlement Agreement,SAP-20-2638,2020-02-18,,Non-Tidal Wetlands;Sediment;Waterway Construction,,frederick
,137182,Aspenleaf Homes,13102 L'Enfant Dr,"Fort Washington,MD,20744",Prince George's,Penalty Settlement,PS-13-1720,2012-07-26,2012-08-24,Notice of Intent,Notice of Intent (Construction),prince-georges
,137291,SensInc/25thStCoastalHwy/OceanCity,"25th St Coastal Hwy, Map0111Parcel5754","Ocean City,MD,21842",Worcester,Penalty Settlement,PS-14-2082,2014-05-01,2014-05-29,Notice of Intent;Sediment,Notice of Intent (Construction),worcester
,137753,Garrison Forest School,300 Garrison Forest Road,"Owings Mills,MD,21117",Baltimore,Penalty Settlement,SAP-15-2203,2014-11-05,2014-11-05,Surface Water Discharge Unauthorized,,baltimore
,137785,1127 Darrell Lambert,"19514 Dickerson Hollow Rd, 19800 Dickerson Hollow Rd, ~20114 Dickerson Hollow Rd","Flintstone,MD,21530",Allegany,Settlement Agreement,SAP-13-1843,2013-02-25,2013-03-20,Non-Tidal Wetlands;Sediment;Waterway Construction,,allegany
,137796,Coscan Maryland LLC-Wilsons Grove,Reidel and Johns Hopkins Roads,"Crofton,MD,21114",Anne Arundel,Penalty Settlement,C-15-2162,2014-10-02,2014-10-03,Notice of Intent;Sediment,Notice of Intent (Construction),anne-arundel
,137851,40268 Waterview Dr,40268 Waterview Dr,"Mechanicsville,MD,20659",St. Mary's,Penalty Settlement,Arno Laud,2012-10-10,2012-10-23,Tidal Wetlands,,st-marys
,137926,341 Edgewater Rd,341 Edgewater Rd,"Pasadena,MD,21122",Anne Arundel,Penalty Settlement,PS-13-1781,2012-10-17,2018-03-12,Tidal Wetlands,,anne-arundel
,137996,Morrell Park Community Center,"2501 Whittington Ave, (near Morrell Park Elem/Middle School)","Baltimore City,MD,21230",Baltimore City,Penalty Settlement,PS-13-1737,2012-08-13,2013-01-18,Notice of Intent,Notice of Intent (Construction),baltimore-city
,138100,Hanover Brewer's Hill,3700 Toone St,"Baltimore,MD,21224",Baltimore City,Penalty Settlement,PS-13-1772,2013-10-04,2012-11-20,Notice of Intent,Notice of Intent (Construction),baltimore-city
,164899,North East Gateway,", North East Rd","North East,MD,21901",Cecil,,,2020-02-27,2020-04-02,Notice of Intent,,cecil
,138159,Taco Bell BurgerBusters Inc,450 Dual Hwy,"Hagerstown,MD,21740",Washington,Penalty Settlement,C-13-1784,2012-10-18,2013-01-09,Sediment,,washington
,138176,AT&T Store Salisbury MD,105 W Ruark Dr,"Salisbury,MD,21801",Wicomico,Penalty Settlement,PS-13-1777,2012-11-14,2012-11-14,Notice of Intent;Sediment,,wicomico
,138308,Annapolis Harbor South LLC,2818 Solomons Island Rd,"Edgewater,MD,21037",Anne Arundel,Settlement Agreement,Arno Laud,2015-03-31,2015-05-06,Sediment;Tidal Wetlands,,anne-arundel
,138578,Arlene Zarr 842 North Shore Dr,842 North Shore Drive,"Glen Burnie,MD,21060",Anne Arundel,Penalty Settlement,PS-13-1821,2013-01-04,2013-01-04,Tidal Wetlands,,anne-arundel
,138778,Near 8841 Willowbrook Rd Frederick,Near 8841 Willowbrook Rd,"Frederick,MD,21702",Frederick,Penalty Settlement,AP-11-1187,2013-03-21,2014-04-30,Sediment;Surface Water Discharge Permit,Industrial Stormwater,frederick
,138929,"MD 26 and Pikeswood Drive, Randallstown",MD 26 and Pikeswood Drive,"Randallstown,MD,21133",Baltimore,Penalty Settlement,C-13-1854,2013-02-20,2013-03-01,Sediment,,baltimore
,138988,AA DPW-Broadneck Peninsula Trail,Bay Dale Dr to Pennington Lane,"Annapolis,MD,21409",Anne Arundel,Penalty Settlement,PS-13-1899,2013-04-02,2013-05-07,Non-Tidal Wetlands,,anne-arundel
,139180,MCDOT Log House Rd replacement of two roadway culverts,"23819 Log House Rd, Mo ADC 4929H1","Damascus,MD,20872",Montgomery,Settlement Agreement,Linda Eisgruber,2014-11-24,2015-02-03,Non-Tidal Wetlands;Sediment;Waterway Construction,,montgomery
,139629,Behavioral Health Clinic Modular Trailers Fort Meade,Ernie Pyle St,"Fort George G. Meade,MD,20755",Anne Arundel,Penalty Settlement,PS-13-1887,2013-03-20,2013-05-10,Notice of Intent,Notice of Intent (Construction),anne-arundel
,139629,Behavioral Health Clinic Modular Trailers Fort Meade,Ernie Pyle St,"Fort George G. Meade,MD,20755",Anne Arundel,Penalty Settlement,PS-14-1972,2013-07-29,2013-07-29,Notice of Intent;Sediment,Notice of Intent (Construction),anne-arundel
,139801,PG DPWT-Keppler Road,"Keppler Road, 1 blk from Temple Hills Road","Temple Hills,MD,20748",Prince George's,Penalty Settlement,Eisgruber,2015-06-08,2015-10-29,Notice of Intent,Notice of Intent (Construction),prince-georges
,139833,Modern Foundations Inc,7860 Kabik Court,"Woodbine,MD,21797",Carroll,Penalty Settlement,PS-14-2095,2014-05-17,2014-06-24,Surface Water Discharge Unauthorized,Industrial Minor,carroll
,140101,4325 Washington Blvd Halethorpe,4325 Washington Blvd,"Halethorpe,MD,21227",Baltimore,Penalty Settlement,PS-14-1987,2013-10-02,2015-02-25,Sediment;Waterway Construction,,baltimore
,140289,Centurylink @ 111 Market Place 4th floor,"111 Market Pl, 4th Fl, The Chandler Building","Baltimore City,MD,21202",Baltimore City,Penalty Settlement,PS-14-1981,2013-08-09,2013-09-24,Surface Water Discharge Unauthorized,Industrial Minor,baltimore-city
,140801,Hollander 95 Business Park,"Hollander Ridge, East side of 62nd St","Baltimore City,MD,21224",Baltimore City,Penalty Settlement,PS-14-2009,2013-09-30,2013-10-29,Notice of Intent,Notice of Intent (Construction),baltimore-city
,140900,Sassafras Rd,343 Sassafras Rd,"Middle River,MD,21220",Baltimore,Penalty Settlement,PS-14-1971,2013-07-29,2013-09-17,Sediment,,baltimore
,141048,CSX Transportation JD To JONES HILL CSXT New Track MP CFP 118.5 To CFP 120.6 11-SF-0047/11SF0047,Defense Heights,"Bladensburg,MD,20710",Prince George's,Penalty Settlement,C-15-2122,2014-08-04,2014-09-30,Notice of Intent;Sediment;Waterway Construction,Notice of Intent (Construction),prince-georges
,142220,SMECO Sunderland Substation,275 Lower Marlboro Rd,"Huntingtown,MD,20639",Calvert,Penalty Settlement,C-14-2055,2014-01-29,2014-02-18,Sediment,,calvert
,142316,Sewage Spill at Stormwater Management pond behind 1681 Gemini Dr Sykesville,1681 Gemini Dr,"Sykesville,MD,21784",Carroll,Penalty Settlement,Eisgruber,2015-06-30,2015-07-31,Surface Water Discharge Unauthorized,Collection System (SSO),carroll
,142548,Freedom District WWTP ENR Upgrades,"1301 Raincliffe Rd, 39.362641 -76.947495","Sykesville,MD,21784",Carroll,Consent Order,CO-12-1512,2011-11-09,2019-12-18,Surface Water Discharge Permit,,carroll
,142548,Freedom District WWTP ENR Upgrades,"1301 Raincliffe Rd, 39.362641 -76.947495","Sykesville,MD,21784",Carroll,Stipulated Penalty,Jessica Herpel,2019-11-13,2019-12-17,Surface Water Discharge Permit,Municipal Major,carroll
,142665,CE DPW-Principio Sanitary Sewer Subdistrict North Interceptor,"Principio Parkway East, Principio Parkway East","North East,MD,21901",Cecil,Penalty Settlement,C-16-2325,2015-10-06,2015-11-12,Sediment,,cecil
,142671,WLR Automotive Group,2260 Solomons Island Road,"Huntingtown,MD,20639",Calvert,Penalty Settlement,SP-18-2532,2018-05-16,2018-06-06,Groundwater Discharge Permit,,calvert
,143029,WM Davis Development-St. Mary's Industrial Park Lot 10,43960 Airport View Dr,"Hollywood,MD,20636",St. Mary's,Penalty Settlement,SAP-12-1667,2015-10-07,2015-12-08,Notice of Intent,Notice of Intent (Construction),st-marys
,143857,1211 Lake Ridge Drive / Thomas Joseph Cable,1211 Lake Ridge Drive,"Sunderland,MD,20689",Calvert,Settlement Agreement,C-18-2481,2017-08-16,2019-07-24,Non-Tidal Wetlands;Sediment,,calvert
,143863,2116 Monumental Road,2116 Monumental Avenue,"Halethorpe,MD,21227",Baltimore,Penalty Settlement,C-15-2130,2014-08-07,2015-08-24,Sediment,,baltimore
,144473,Center at Monocacy Lots 1 and 15,Southern intersection of MD 85 and Pegasus Ct,"Frederick,MD,21071",Frederick,Penalty Settlement,08FR0022,2014-09-30,2014-10-28,Notice of Intent;Sediment,Notice of Intent (Construction),frederick
